    SNNAME     TYPE         Ha         eHa        Hb        eHb      OIIIb     eOIIIb      NIIb       eNIIb        SII       eSII         OI        eOI        HeI       eHeI          SFR         OH       HaEW      eHaEW    LumFlux    Areakpc         av        avs        agel      eagel        agem      eagem         zl        ezl         zm        ezm
    2003ic       Ia        NaN        NaN        NaN        NaN  3.320e-18  6.736e-19        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN          NaN        NaN      0.870      0.420  6.040e+13  1.0000000        NaN  0.1231000   9.8821096  1.0544780  10.1325006  0.0684370  0.0140150  0.0069160  0.0151170  0.0066330
    2006eu       Ia        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN          NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN         NaN        NaN         NaN        NaN        NaN        NaN        NaN        NaN
    2002ha       Ia  1.613e-16  2.607e-17  7.239e-17  1.230e-17  5.261e-17  8.264e-18  1.144e-16  1.992e-17  1.378e-16  1.503e-17  4.444e-17  1.163e-17  1.065e-16  1.001e-17    0.0005563      8.650      6.080      1.230  3.449e+12  1.0000000  0.1331555  0.0000000   9.1903229  0.9644630   9.7470398  0.2291430  0.0212120  0.0108340  0.0249870  0.0072650
    2008hv       Ia  0.000e+00        NaN  0.000e+00        NaN  0.000e+00        NaN  0.000e+00        NaN  0.000e+00        NaN  0.000e+00        NaN  0.000e+00        NaN    0.0000000        NaN        NaN        NaN  2.757e+12  1.0000000        NaN        NaN         NaN        NaN         NaN        NaN        NaN        NaN        NaN        NaN
    2009fv       Ia        NaN        NaN  6.606e-18  1.291e-18        NaN        NaN        NaN        NaN        NaN        NaN  7.144e-18  1.467e-18        NaN        NaN          NaN        NaN      0.170      0.090  1.568e+13  1.0000000        NaN  0.0000000   9.8567963  0.1923160   9.8864040  0.1836900  0.0216000  0.0084840  0.0205220  0.0081940
    2007bd       Ia  2.381e-16  3.632e-17  8.325e-17  1.326e-17  3.888e-17  4.064e-18  1.115e-16  1.682e-17  5.841e-17  7.129e-18  1.522e-17  1.430e-18  9.871e-18  1.679e-18    0.0041705      8.977     10.210      0.580  1.752e+13  3.3664539  0.4213681  0.2023000   9.2146244  1.0386560   9.9910545  0.2729210  0.0208140  0.0088530  0.0211240  0.0051460
    2011im       Ia  2.382e-16  3.427e-17  8.939e-17  1.231e-17        NaN        NaN  1.462e-16  1.898e-17  1.337e-16  1.185e-17        NaN        NaN  3.779e-17  4.048e-18    0.0011084      8.754     13.580      0.800  4.654e+12  1.0000000  0.0000000  0.0000000   8.7974548  1.0115089   9.3298178  0.3981450  0.0181260  0.0120120  0.0158910  0.0118090
    2008ec       Ia  1.658e-15  1.721e-16  5.798e-16  9.382e-17  8.708e-16  1.132e-16  1.142e-15  1.148e-16  7.421e-16  6.389e-17  1.243e-16  2.100e-17        NaN        NaN    0.0078032      8.922      8.960      0.730  4.706e+12  1.0000000  0.1842707  0.2606000   8.8182049  1.2220060   9.7729759  0.5296080  0.0243760  0.0116460  0.0200750  0.0145000
     1989A       Ia  8.424e-16  1.189e-16  2.945e-16  4.744e-17  2.171e-16  2.648e-17  2.654e-16  4.209e-17  4.184e-16  3.767e-17  8.094e-17  1.134e-17        NaN        NaN    0.0010201      8.440     12.510      0.790  1.211e+12  1.0000000  2.1216471  0.1342000   8.9395008  0.6496300   9.7272367  0.4812750  0.0241020  0.0111080  0.0291220  0.0071930
     1970J       Ia  0.000e+00        NaN  0.000e+00        NaN  0.000e+00        NaN  0.000e+00        NaN  0.000e+00        NaN  0.000e+00        NaN  0.000e+00        NaN    0.0000000        NaN      0.000      0.000  2.757e+12  0.5796101        NaN  0.2567000  10.0716248  0.0353560  10.0697947  0.0353560  0.0058910  0.0027290  0.0060320  0.0027290
    2001en       Ia  2.602e-16  3.783e-17  1.328e-16  1.573e-17  9.374e-17  1.542e-17  1.063e-16  1.572e-17  1.551e-16  1.358e-17  1.361e-17  3.634e-18        NaN        NaN    0.0011573      8.504      5.640      0.630  4.447e+12  1.0000000  0.0000000  0.5585000   8.9971752  1.5665981  10.0873280  0.3763530  0.0130570  0.0094600  0.0089970  0.0060270
    2013aj       Ia  1.583e-15  1.748e-16  5.534e-16  5.199e-17  1.124e-15  1.153e-16  1.246e-15  1.594e-16  9.667e-16  8.223e-17        NaN        NaN        NaN        NaN    0.0022874      8.857      2.380      0.330  1.445e+12  1.0000000        NaN  0.0000000   9.4001207  0.6665790   9.6267252  0.3579840  0.0179050  0.0118560  0.0141710  0.0118020
    2002aw       Ia  6.940e-17  7.183e-18  2.427e-17  2.675e-18  3.277e-17  3.712e-18  7.390e-17  9.498e-18  5.641e-17  4.291e-18        NaN        NaN        NaN        NaN    0.0008596      8.901      2.860      0.330  1.239e+13  1.0000000  1.7000335  0.0364000   9.5793972  0.3004010   9.6855907  0.2300000  0.0127690  0.0087390  0.0118370  0.0075310
     1995E       Ia  3.084e-15  6.248e-16  1.078e-15  2.265e-16  3.439e-16  4.106e-17  1.451e-15  2.890e-16  1.545e-15  1.932e-16        NaN        NaN        NaN        NaN    0.0072162      8.656     13.170      0.700  2.340e+12  1.0000000  0.4794400  0.3153000   8.7608204  1.1624810   9.4425945  0.5385120  0.0289270  0.0090900  0.0315100  0.0008530
  LSQ12hzj       Ia  7.869e-18  2.032e-18        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    0.0001617        NaN      0.470      0.180  2.054e+13  3.9014719        NaN  0.6152000   8.4176922  1.4179150   9.9918699  0.3046800  0.0152420  0.0092330  0.0181450  0.0073060
    1999gd       Ia  1.666e-16  2.611e-17  1.015e-16  9.538e-18  1.309e-17  4.918e-18  9.740e-17  1.436e-17  7.839e-17  9.677e-18  2.086e-17  3.000e-18        NaN        NaN    0.0010145      8.805      9.080      0.640  6.089e+12  1.0000000  0.0000000  0.7292000   8.4909878  0.5473340   9.0771942  0.6600140  0.0207480  0.0053740  0.0200870  0.0060950
    1998aq       Ia  9.285e-16  1.102e-16  3.247e-16  5.531e-17  5.213e-16  8.304e-17  7.415e-16  7.976e-17  7.482e-16  6.005e-17  5.369e-16  5.043e-17  4.180e-16  5.655e-17    0.0002174      8.741      5.940      0.890  2.341e+11  1.0000000  2.7030008  0.0964000   8.3362570  1.5679810  10.0115023  0.4081810  0.0145730  0.0117840  0.0229950  0.0127000
    1999dk       Ia  1.064e-15  2.174e-16  3.719e-16  6.497e-17  2.169e-16  3.671e-17  3.589e-16  6.396e-17  4.077e-16  5.136e-17        NaN        NaN  4.314e-17  1.083e-17    0.0460729      8.590     36.100      2.080  3.942e+12  0.8190056  0.8762487  0.0000000   9.0582056  0.3896360   9.2688684  0.4881540  0.0181110  0.0093180  0.0144540  0.0118180
    2013fw       Ia  1.301e-15  2.010e-16  4.549e-16  7.671e-17  1.689e-16  1.833e-17  5.943e-16  9.336e-17  4.226e-16  4.503e-17  9.001e-17  8.456e-18  2.903e-17  7.211e-18    0.0066186      8.831      9.030      0.390  5.087e+12  1.0000000  0.0000000  0.0535000   8.9756556  1.0739380   9.8911419  0.3329870  0.0227160  0.0091520  0.0261330  0.0083160
     2001E       Ia  6.674e-16  1.016e-16  2.334e-16  3.017e-17  5.229e-17  7.822e-18  3.094e-16  4.586e-17  2.121e-16  2.630e-17  1.503e-17  3.691e-18  2.797e-17  2.628e-18    0.0044085      8.849     34.110      1.430  6.605e+12  1.0000000  0.5496239  0.3413000   8.4899302  1.6580070  10.0444527  0.3549510  0.0108490  0.0083770  0.0163750  0.0112320
    1999ac   Ia-91T  4.861e-15  7.121e-16  1.700e-15  2.429e-16  8.961e-16  1.418e-16  1.339e-15  2.081e-16  1.822e-15  1.868e-16  1.790e-16  1.681e-17  2.957e-16  4.004e-17    0.0076200      8.489     43.740      1.070  1.568e+12  1.0000000  0.3319179  0.3287000   8.6620502  0.8072490   9.1145544  0.4304320  0.0200470  0.0135350  0.0222710  0.0146260
    2006te       Ia  3.214e-17  6.356e-18  1.124e-17  2.669e-18  8.302e-18  1.829e-18  1.055e-17  2.552e-18  1.848e-17  2.670e-18  1.526e-18  5.735e-19        NaN        NaN    0.0005891      8.399     17.530      1.450  1.833e+13  1.0000000  0.7373496  0.0847000   8.5967302  0.9363580   9.1968250  0.3996860  0.0275830  0.0093100  0.0308650  0.0043080
     2007A       Ia  5.645e-15  1.166e-15  1.974e-15  4.324e-16  2.980e-16  6.466e-17  2.015e-15  4.219e-16  1.529e-15  2.198e-16  6.369e-17  1.881e-17  1.396e-16  3.320e-17    0.0311721      8.773     81.910      1.780  5.522e+12  1.0000000  1.2741967  0.4690000   8.3081980  1.5131110  10.0644598  0.4425040  0.0152500  0.0121940  0.0264880  0.0122730
    1995bd   Ia-91T  3.396e-15  5.009e-16  1.187e-15  2.067e-16  7.044e-16  6.810e-17  1.860e-15  2.811e-16  1.501e-15  1.333e-16        NaN        NaN        NaN        NaN    0.0127386      8.796     10.840      0.700  3.751e+12  1.0000000  1.2395320  0.4909000   8.8637037  1.3114361   9.7436924  0.2986820  0.0078060  0.0072240  0.0066440  0.0046270
    2006cm       Ia  3.181e-15  4.487e-16  1.112e-15  1.512e-16  6.025e-16  7.250e-17  1.536e-15  2.163e-16  1.254e-15  1.256e-16  3.474e-16  3.264e-17  4.309e-16  4.048e-17    0.0150146      8.776     10.910      0.470  4.720e+12  1.0000000  0.6486048  0.9014000   8.9062519  0.9992030   9.8186588  0.4410610  0.0162470  0.0106420  0.0234650  0.0105200
    2000ce       Ia  9.050e-16  1.246e-16  3.164e-16  6.563e-17  5.728e-17  1.771e-17  3.346e-16  4.941e-17  4.682e-16  4.191e-17  1.068e-16  1.744e-17        NaN        NaN    0.0042525      8.510     12.900      0.760  4.699e+12  0.9697859  1.3903443  0.0018000   9.1583443  0.9450750   9.6448717  0.3716370  0.0157060  0.0116780  0.0153540  0.0070050
    2007sw      man        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN          NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN         NaN        NaN         NaN        NaN        NaN        NaN        NaN        NaN
     2014J       Ia  2.798e-11  3.699e-12  9.782e-12  1.368e-12  3.627e-12  5.476e-13  1.621e-11  2.145e-12  1.165e-11  1.121e-12  3.491e-12  3.940e-13  7.715e-12  7.248e-13    0.1761411      8.854     13.180      0.270  6.296e+09  1.0000000        NaN  1.1540999   8.7791519  0.7423910  10.0018444  1.1415139  0.0162560  0.0106820  0.0299300  0.0131960
    2008dt       Ia  2.929e-17  2.752e-18  1.658e-17  2.025e-18        NaN        NaN  2.420e-17  3.215e-18        NaN        NaN        NaN        NaN  9.395e-18  2.859e-18    0.0006803        NaN      3.190      1.040  2.322e+13  4.3675756  0.0000000  0.5190000   9.2060194  0.7169730   9.7529230  0.3986830  0.0201790  0.0142320  0.0266260  0.0112310
    2001fe       Ia  7.112e-16  1.585e-16  2.487e-16  5.502e-17  5.538e-17  1.914e-17  2.659e-16  6.105e-17  2.755e-16  3.767e-17  4.739e-17  6.678e-18  2.550e-17  5.881e-18    0.0022879      8.642     19.180      1.080  3.217e+12  1.0000000  0.9015037  0.0000000   9.0086393  0.8555510   9.7037964  0.4226450  0.0131250  0.0125530  0.0155650  0.0130860
    2009ds       Ia  8.427e-16  1.262e-16  2.947e-16  3.933e-17  8.608e-17  1.148e-17  3.417e-16  5.098e-17        NaN        NaN  1.931e-17  3.610e-18        NaN        NaN    0.0055665        NaN     14.690      0.670  6.605e+12  1.0000000  0.0000000  0.2075000   8.8211889  1.1948470   9.9334497  0.3489400  0.0276330  0.0068540  0.0311820  0.0023130
    1999dq   Ia-91T  3.387e-14  5.048e-15  1.184e-14  2.183e-15        NaN        NaN  1.536e-14  2.099e-15  8.928e-15  7.760e-16  3.614e-15  3.395e-16        NaN        NaN    0.1222447      8.923     22.710      1.120  3.610e+12  1.0000000  1.1041682  0.3921000   8.5997753  1.4273070   9.7893295  0.4795540  0.0199920  0.0110220  0.0248370  0.0117240
    1997cw   Ia-91T  9.762e-16  2.210e-16  3.413e-16  7.348e-17  2.207e-16  5.177e-17  3.796e-16  8.593e-17  4.018e-16  6.068e-17  2.731e-17  6.949e-18  3.081e-17  8.766e-18    0.0053906      8.637     58.170      2.150  5.522e+12  1.0000000  1.1305516  0.0737000   9.0658560  0.8625290  10.0150633  0.5024380  0.0100380  0.0101630  0.0110900  0.0147510
    1999aa   Ia-91T  8.725e-16  1.134e-16  3.051e-16  4.972e-17  1.905e-16  3.278e-17  3.957e-16  6.107e-17  4.705e-16  4.600e-17        NaN        NaN  2.201e-17  8.272e-18    0.0032015      8.604     14.250      0.830  3.669e+12  1.0000000        NaN  0.0000000   8.8098440  0.9423400   9.6377163  0.5475240  0.0252640  0.0096420  0.0241210  0.0079270
    2007bz       Ia  2.662e-15  3.822e-16  9.306e-16  1.282e-16  1.398e-15  2.081e-16  4.790e-16  6.662e-17  1.128e-15  1.128e-16  1.346e-16  1.890e-17  9.877e-17  1.376e-17    0.0226224      8.201     45.700      0.780  8.499e+12  1.0000000  0.0021953  0.4491000   8.2576332  0.6918320   8.9095755  0.6121320  0.0235490  0.0107570  0.0298860  0.0056010
    2005eq       Ia  1.361e-13  1.319e-14  4.758e-14  6.839e-15  3.372e-14  3.637e-15  5.425e-14  5.616e-15  4.800e-14  5.122e-15  1.393e-14  1.309e-15        NaN        NaN    6.3136740      8.718     13.440      0.900  1.532e+13  2.9724388  0.6797139  0.1060000   9.0240364  1.3779600   9.9707966  0.2864730  0.0131750  0.0132400  0.0041150  0.0034530
     2013U       Ia  2.325e-15  3.210e-16  8.129e-16  1.131e-16  1.588e-16  2.676e-17  9.188e-16  1.259e-16  6.341e-16  6.209e-17  5.564e-17  7.901e-18  3.975e-17  5.587e-18    0.0512176      8.827     42.220      1.090  2.203e+13  1.0000000  0.6632611  0.5731000   8.4803629  1.2185971   9.9479046  0.4860930  0.0204730  0.0114080  0.0299190  0.0065010
 iPTF14bdn       Ia  1.827e-16  2.490e-17  8.844e-17  8.492e-18  4.319e-17  7.644e-18  6.018e-17  5.653e-18        NaN        NaN  2.334e-17  2.615e-18        NaN        NaN    0.0007795        NaN      9.850      0.820  4.265e+12  1.0000000  0.0000000  0.4782000   8.1368933  0.9938370   9.0172329  0.5611830  0.0181520  0.0149680  0.0297500  0.0078940
     1963J       Ia  1.620e-14  2.387e-15  5.664e-15  8.815e-16  1.980e-15  2.987e-16  5.941e-15  8.582e-16  6.441e-15  7.188e-16  1.096e-15  1.030e-16        NaN        NaN    0.0028030      8.620     16.460      0.540  1.730e+11  1.0000000  0.0000000  0.1448000   8.8244801  1.1156970   9.4722309  0.5242860  0.0102980  0.0082520  0.0096480  0.0049290
