    SNNAME     TYPE         Ha         eHa        Hb        eHb      OIIIb     eOIIIb      NIIb       eNIIb        SII       eSII         OI        eOI        HeI       eHeI          SFR         OH       HaEW      eHaEW    LumFlux    Areakpc         av        avs        agel      eagel        agem      eagem         zl        ezl         zm        ezm
     1969C       Ia  2.554e-15  4.524e-16  8.930e-16  1.509e-16  3.194e-16  5.559e-17  1.228e-15  2.112e-16  8.436e-16  1.123e-16  3.358e-16  8.305e-17  9.721e-17  3.180e-17    0.0047688      8.853     10.670      0.500  1.867e+12  1.0000000  0.0000000  0.3284000   8.9200315  1.0126460   9.6727610  0.4800980  0.0162500  0.0116990  0.0180330  0.0131780
    2007ax       Ia        NaN        NaN  6.451e-16  1.838e-16  1.016e-15  1.208e-16        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN          NaN        NaN      0.120      0.080  8.162e+11  1.0000000        NaN  0.0000000   9.6626015  0.7140090   9.8093042  0.2358640  0.0256560  0.0128680  0.0249660  0.0134680
    2009gf       Ia        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN          NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN         NaN        NaN         NaN        NaN        NaN        NaN        NaN        NaN
    2007hj       Ia  1.931e-16  1.814e-17  2.723e-16  2.558e-17        NaN        NaN  6.026e-17  5.661e-18        NaN        NaN  4.531e-17  4.256e-18  1.495e-16  1.405e-17    0.0083282        NaN      0.740      0.120  3.501e+12  0.4869081  0.0000000  0.0000000   9.4810486  0.5085600   9.7460508  0.2380460  0.0295630  0.0050560  0.0287470  0.0059300
    2005cc      man        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN          NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN         NaN        NaN         NaN        NaN        NaN        NaN        NaN        NaN
    2006bb       Ia        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN          NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN         NaN        NaN         NaN        NaN        NaN        NaN        NaN        NaN
    1999ej       Ia  3.625e-17  4.588e-18        NaN        NaN  4.843e-17  4.550e-18        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN    0.0001198        NaN        NaN        NaN  3.307e+12  1.0000000        NaN        NaN         NaN        NaN         NaN        NaN        NaN        NaN        NaN        NaN
    2007hu       Ia  1.693e-17  2.057e-18        NaN        NaN  2.197e-17  2.064e-18  2.225e-17  3.621e-18        NaN        NaN        NaN        NaN  2.776e-18  7.359e-19    0.0003931        NaN      1.990      0.530  2.322e+13  1.0000000        NaN  0.2975000   9.5787630  0.9645350  10.0051918  0.2171080  0.0290780  0.0069240  0.0315090  0.0007470
    2002jg       Ia  7.260e-16  9.771e-17  2.654e-16  3.679e-17  1.255e-16  1.792e-17  3.320e-16  4.451e-17  3.827e-16  3.846e-17  1.010e-16  1.212e-17  8.612e-17  8.091e-18    0.0028723      8.619      9.880      0.530  3.956e+12  1.0000000  1.4456598  0.6748000   8.1536188  0.4624370   8.9632139  0.8868900  0.0276110  0.0074390  0.0303330  0.0048180
     2007R       Ia  2.633e-16  5.455e-17  9.206e-17  1.650e-17  1.578e-16  1.633e-17  1.778e-16  4.186e-17        NaN        NaN        NaN        NaN        NaN        NaN    0.0123207        NaN        NaN        NaN  1.733e+13  1.4815869  1.6894380        NaN         NaN        NaN         NaN        NaN        NaN        NaN        NaN        NaN
