SNNAME QF Ha eHa Hb eHb OIIIb eOIIIb NIIb eNIIb SII eSII
SN2005bg S 1.336e-14 3.961e-15 4.671e-15 1.458e-15 8.221e-16 2.309e-16 4.172e-15 1.202e-15 nan nan
SN2005gj G 4.742e-17 1.727e-17 1.791e-17 5.577e-18 4.726e-17 1.733e-17 4.203e-18 1.58e-18 9.756e-18 2.727e-18
SN2005hc S nan nan nan nan nan nan nan nan nan nan
SN2005hj S 4.289e-16 1.394e-16 1.5e-16 5.199e-17 7.885e-17 2.462e-17 1.118e-16 3.736e-17 1.694e-16 3.846e-17
SN2005ir S 1.483e-16 4.741e-17 5.185e-17 1.836e-17 3.034e-17 1.133e-17 5.408e-17 1.739e-17 4.531e-17 1.196e-17
SN2005ku S 9.773e-16 2.972e-16 3.417e-16 1.038e-16 1.86e-16 5.938e-17 2.525e-16 7.918e-17 3.716e-16 7.987e-17
SN2005lu S 1.108e-14 3.222e-15 3.875e-15 1.175e-15 4.636e-15 1.478e-15 3.166e-15 9.283e-16 3.617e-15 7.728e-16
SN2005M S nan nan nan nan nan nan nan nan nan nan
SN2005na S 1.331e-15 4.233e-16 4.654e-16 1.471e-16 1.295e-16 3.727e-17 5.56e-16 1.625e-16 nan nan
SN2006br S 1.338e-16 3.202e-17 4.679e-17 1.758e-17 nan nan 1.593e-16 2.699e-17 nan nan
SN2006D S nan nan nan nan nan nan nan nan nan nan
SN2006ef G nan nan nan nan nan nan nan nan nan nan
SN2006ej S nan nan nan nan nan nan nan nan nan nan
SN2006eq G 7.324e-18 2.652e-18 nan nan nan nan 4.839e-18 9.451e-19 4.282e-18 1.139e-18
SN2006et S nan nan nan nan nan nan nan nan nan nan
SN2006gt X nan nan nan nan nan nan nan nan nan nan
SN2006hx S nan nan nan nan nan nan nan nan nan nan
SN2006lu S 5.193e-17 1.729e-17 1.816e-17 6.642e-18 1.013e-17 1.896e-18 2.189e-17 7.558e-18 2.707e-17 6.543e-18
SN2006ob S 1.386e-16 3.996e-17 7.634e-17 1.441e-17 1.188e-16 1.938e-17 2.334e-16 4.124e-17 1.513e-16 1.838e-17
SN2006os S 1.449e-15 4.13e-16 5.067e-16 1.698e-16 3.619e-16 4.728e-17 6.766e-16 1.805e-16 7.331e-16 2.072e-16
SN2006ot S nan nan nan nan nan nan nan nan nan nan
SN2006py G nan nan nan nan nan nan 7.617e-18 2.862e-18 nan nan
SN2007al S nan nan nan nan 3.762e-17 5.731e-18 nan nan nan nan
SN2007ba S nan nan nan nan 4.877e-17 8.853e-18 nan nan 5.263e-17 3.635e-18
SN2007bc S nan nan nan nan nan nan nan nan nan nan
SN2007cg S 6.284e-16 1.703e-16 2.197e-16 5.567e-17 3.801e-17 1.428e-17 2.543e-16 6.916e-17 1.951e-16 4.181e-17
SN2007hx S 2.447e-18 9.06e-19 nan nan nan nan 1.251e-18 3.531e-19 nan nan
SN2007mm X nan nan nan nan nan nan nan nan nan nan
SN2007ol S nan nan nan nan 6.094e-18 2.29e-18 nan nan nan nan
SN2007S S 4.049e-15 1.358e-15 1.416e-15 4.988e-16 2.96e-16 1.112e-16 1.333e-15 4.402e-16 1.094e-15 2.83e-16
SN2007so S nan nan nan nan nan nan nan nan nan nan
SN2008ar G 5.812e-16 2.061e-16 2.073e-16 5.033e-17 nan nan 2.196e-16 7.526e-17 1.427e-15 5.177e-16
SN2008cf S nan nan 3.258e-17 1.084e-17 5.533e-17 1.982e-17 nan nan nan nan
SN2008go X nan nan nan nan nan nan nan nan nan nan
SN2008hj G nan nan nan nan nan nan nan nan nan nan
SN2009aa G 7.98e-17 2.999e-17 2.79e-17 1.048e-17 4.794e-17 1.801e-17 1.174e-17 4.238e-18 4.241e-17 1.141e-17
SN2009D X nan nan nan nan nan nan nan nan nan nan
SN2009I S 8.075e-16 2.801e-16 2.823e-16 9.504e-17 8.263e-17 3.105e-17 3.2e-16 1.079e-16 nan nan
SN2012G X nan nan nan nan nan nan nan nan nan nan
SN2012gm S 1.459e-15 4.183e-16 5.102e-16 1.451e-16 2.626e-16 7.181e-17 5.672e-16 1.585e-16 7.924e-16 1.551e-16
SN2013ao G 1.754e-17 5.818e-18 7.342e-18 1.65e-18 1.191e-17 4.318e-18 nan nan nan nan
SN2013as G 3.754e-18 1.006e-18 nan nan 2.018e-18 6.888e-19 nan nan nan nan
SN2013bz G 1.43e-16 4.105e-17 8.173e-17 3.071e-17 5.457e-17 2.051e-17 7.269e-17 1.902e-17 nan nan
SN2013fy G 8.026e-18 3e-18 3.712e-18 1.395e-18 6.832e-18 1.34e-18 6.245e-18 2.169e-18 nan nan
SN2014at S 5.073e-16 1.756e-16 1.774e-16 6.665e-17 1.126e-16 4.23e-17 2.063e-16 7.254e-17 2.647e-16 5.858e-17
SN2014cd S 3.515e-15 1.143e-15 1.229e-15 4.619e-16 3.422e-16 1.15e-16 1.57e-15 5.126e-16 1.139e-15 2.665e-16
ASASSN13an S 3.985e-15 1.284e-15 1.393e-15 4.469e-16 5.393e-16 1.643e-16 1.718e-15 5.546e-16 nan nan
ASASSN13ar S 3.103e-17 1.127e-17 1.106e-17 4.157e-18 4.444e-18 1.67e-18 8.11e-18 3.048e-18 1.75e-17 4.066e-18
ASASSN13bb S 1.509e-16 4.883e-17 5.275e-17 1.982e-17 nan nan 6.25e-17 2.322e-17 9.446e-17 1.931e-17
ASASSN13cj S nan nan 8.901e-17 1.604e-17 nan nan nan nan nan nan
ASASSN13cp S 2.339e-17 8.012e-18 3.006e-17 2.824e-18 1.173e-17 2.872e-18 1.587e-17 4.665e-18 nan nan
ASASSN13cu S 9.412e-15 3.131e-15 3.291e-15 1.073e-15 1.721e-15 5.424e-16 3.322e-15 1.119e-15 2.751e-15 6.717e-16
ASASSN13dm S 9.052e-15 2.185e-15 3.165e-15 7.97e-16 9.986e-16 2.327e-16 3.885e-15 9.481e-16 2.826e-15 4.963e-16
ASASSN14ad S 5.233e-17 1.605e-17 2.435e-17 8.463e-18 1.4e-17 5.26e-18 9.623e-18 3.616e-18 nan nan
